month,year,fuel,production,factory,type,supplier,unit_fuel,unit_production
1,2017,3603.55,133401,MAK_rame,Propane,Afriquia,kilogram,kilogram
2,2017,16010.19,231808,MAK_rame,Propane,Afriquia,kilogram,kilogram
3,2017,17297.24,302900,MAK_rame,Propane,Afriquia,kilogram,kilogram
4,2017,16213.32,305594,MAK_rame,Propane,Afriquia,kilogram,kilogram
5,2017,22960.72,433856,MAK_rame,Propane,Afriquia,kilogram,kilogram
6,2017,19459.31,270888,MAK_rame,Propane,Afriquia,kilogram,kilogram
7,2017,12506.62,272434,MAK_rame,Propane,Afriquia,kilogram,kilogram
8,2017,13358.3,212344,MAK_rame,Propane,Afriquia,kilogram,kilogram
9,2017,11454.44,267404,MAK_rame,Propane,Afriquia,kilogram,kilogram
10,2017,17449.59,360229,MAK_rame,Propane,Afriquia,kilogram,kilogram
11,2017,12786.99,237793,MAK_rame,Propane,Afriquia,kilogram,kilogram
12,2017,12949.92,807809,MAK_rame,Propane,Afriquia,kilogram,kilogram
