,month,year,fuel,production,factory,type,supplier,unit_fuel,unit_production
0,1,2017,146760,251994,TintColor,FuelOil,Afriquia,kilograms,kilograms
1,2,2017,110330,177575,TintColor,FuelOil,Afriquia,kilograms,kilograms
2,3,2017,106470,197719,TintColor,FuelOil,Afriquia,kilograms,kilograms
3,4,2017,89737,188713,TintColor,FuelOil,Afriquia,kilograms,kilograms
4,5,2017,95544,195952,TintColor,FuelOil,Afriquia,kilograms,kilograms
5,6,2017,81892,169019,TintColor,FuelOil,Afriquia,kilograms,kilograms
6,7,2017,115478,245628,TintColor,FuelOil,Afriquia,kilograms,kilograms
7,8,2017,61011,163386,TintColor,FuelOil,Afriquia,kilograms,kilograms
8,9,2017,70194,174484,TintColor,FuelOil,Afriquia,kilograms,kilograms
9,10,2017,114580,260535,TintColor,FuelOil,Afriquia,kilograms,kilograms
10,11,2017,54853,110253,TintColor,FuelOil,Afriquia,kilograms,kilograms
11,12,2017,101266,158883,TintColor,FuelOil,Afriquia,kilograms,kilograms
