Unnamed: 0,month,year,fuel,production,factory,type,supplier,unit_fuel,unit_production,day,date,TintColor_fuel,TintColor_production,emission_factor
0,1,2017,NA,226829.775,Cotton,NA,NA,NA,kilograms,1,2017-01-01,146760,251994,4.5364
1,2,2017,NA,203277.0125,Cotton,NA,NA,NA,kilograms,1,2017-02-01,110330,177575,4.5364
2,3,2017,NA,215727.03749999998,Cotton,NA,NA,NA,kilograms,1,2017-03-01,106470,197719,4.5364
3,4,2017,NA,220525.5875,Cotton,NA,NA,NA,kilograms,1,2017-04-01,89737,188713,4.5364
4,5,2017,NA,234817.2825,Cotton,NA,NA,NA,kilograms,1,2017-05-01,95544,195952,4.5364
5,6,2017,NA,184786.275,Cotton,NA,NA,NA,kilograms,1,2017-06-01,81892,169019,4.5364
6,7,2017,NA,227935.075,Cotton,NA,NA,NA,kilograms,1,2017-07-01,115478,245628,4.5364
7,8,2017,NA,145004.7125,Cotton,NA,NA,NA,kilograms,1,2017-08-01,61011,163386,4.5364
8,9,2017,NA,167004.4425,Cotton,NA,NA,NA,kilograms,1,2017-09-01,70194,174484,4.5364
9,10,2017,NA,211402.49,Cotton,NA,NA,NA,kilograms,1,2017-10-01,114580,260535,4.5364
10,11,2017,NA,102864.575,Cotton,NA,NA,NA,kilograms,1,2017-11-01,54853,110253,4.5364
11,12,2017,NA,148564.4475,Cotton,NA,NA,NA,kilograms,1,2017-12-01,101266,158883,4.5364
