Unnamed: 0,month,year,fuel,production,factory,type,supplier,unit_fuel,unit_production,day,date,MCS_fuel,MCS_production,emission_factor
0,1,2017,6159.4939595959595,239479,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms,1,2017-01-01,6159.4939595959595,239479,2.68
1,2,2017,6082.164068181819,265073,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms,1,2017-02-01,6082.164068181819,265073,2.68
2,3,2017,5848.733464285715,284983,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms,1,2017-03-01,5848.733464285715,284983,2.68
3,4,2017,4730.258807453416,302032,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms,1,2017-04-01,4730.258807453416,302032,2.68
4,5,2017,4691.666952380952,328602,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms,1,2017-05-01,4691.666952380952,328602,2.68
5,6,2017,3994.2570000000014,219754,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms,1,2017-06-01,3994.2570000000014,219754,2.68
6,7,2017,3178.2259999999997,278115,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms,1,2017-07-01,3178.2259999999997,278115,2.68
7,8,2017,3727.9732,132747,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms,1,2017-08-01,3727.9732,132747,2.68
8,9,2017,3738.214884615385,192550,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms,1,2017-09-01,3738.214884615385,192550,2.68
9,10,2017,2662.8379999999997,257604,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms,1,2017-10-01,2662.8379999999997,257604,2.68
10,11,2017,3178.2259999999997,148611,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms,1,2017-11-01,3178.2259999999997,148611,2.68
11,12,2017,2147.4500000000007,166618,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms,1,2017-12-01,2147.4500000000007,166618,2.68
