month,year,fuel,production,factory,type,supplier,unit_fuel,unit_production
1,2017,2288,194750,SalsaPrint,Propane,Total,liters,garments
2,2017,4469,247012,SalsaPrint,Propane,Total,liters,garments
3,2017,4046,193446,SalsaPrint,Propane,Total,liters,garments
4,2017,2198,324239,SalsaPrint,Propane,Total,liters,garments
5,2017,1893,163670,SalsaPrint,Propane,Total,liters,garments
6,2017,3564,112913,SalsaPrint,Propane,Total,liters,garments
7,2017,0,181998,SalsaPrint,Propane,Total,liters,garments
8,2017,1675,53665,SalsaPrint,Propane,Total,liters,garments
9,2017,1999,53199,SalsaPrint,Propane,Total,liters,garments
10,2017,0,70830,SalsaPrint,Propane,Total,liters,garments
11,2017,2765,48866,SalsaPrint,Propane,Total,liters,garments
12,2017,0,24876,SalsaPrint,Propane,Total,liters,garments
