month,year,quant,factory,type,unit
1,2016,16679.37,MAK_knit,Propane,kilograms
2,2016,19886.319,MAK_knit,Propane,kilograms
3,2016,14194.128,MAK_knit,Propane,kilograms
4,2016,10791.6,MAK_knit,Propane,kilograms
5,2016,19039.24,MAK_knit,Propane,kilograms
6,2016,17124.26,MAK_knit,Propane,kilograms
7,2016,11798.29,MAK_knit,Propane,kilograms
8,2016,11328.01,MAK_knit,Propane,kilograms
9,2016,12804.45,MAK_knit,Propane,kilograms
10,2016,16831.19,MAK_knit,Propane,kilograms
11,2016,12764.77,MAK_knit,Propane,kilograms
12,2016,0,MAK_knit,Propane,kilograms
1,2017,3603.55,MAK_knit,Propane,kilograms
2,2017,16010.19,MAK_knit,Propane,kilograms
3,2017,17297.24,MAK_knit,Propane,kilograms
4,2017,16213.32,MAK_knit,Propane,kilograms
5,2017,22960.72,MAK_knit,Propane,kilograms
6,2017,19459.31,MAK_knit,Propane,kilograms
7,2017,12506.62,MAK_knit,Propane,kilograms
8,2017,13358.3,MAK_knit,Propane,kilograms
8,2017,11454.44,MAK_knit,Propane,kilograms
10,2017,17449.59,MAK_knit,Propane,kilograms
11,2017,12786.99,MAK_knit,Propane,kilograms
12,2017,12949.92,MAK_knit,Propane,kilograms
1,2018,4765.23,MAK_knit,Propane,kilograms
2,2018,17910.81,MAK_knit,Propane,kilograms
3,2018,21071.13,MAK_knit,Propane,kilograms
4,2018,10257.31,MAK_knit,Propane,kilograms
5,2018,4549.4,MAK_knit,Propane,kilograms
