date,year,quant,factory,type,supplier,unit
5/1/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
15/1/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
27/1/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
8/2/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
20/2/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
5/3/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
22/3/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
5/4/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
26/4/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
14/5/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
31/5/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
20/6/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
14/7/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
26/7/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
23/8/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
6/9/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
30/9/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
18/10/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
29/11/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
17/12/16,2016,3000,MCS,gas_oil,Trans-Marhaba,liters
4/1/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
19/1/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
30/1/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
10/2/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
22/2/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
10/3/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
23/3/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
6/4/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
22/4/18,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
15/5/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
5/6/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
25/7/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
9/9/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
31/10/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
24/11/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
25/12/17,2017,3000,MCS,gas_oil,Trans-Marhaba,liters
18/1/18,2018,3000,MCS,gas_oil,Trans-Marhaba,liters
10/2/18,2018,3000,MCS,gas_oil,Trans-Marhaba,liters
27/3/18,2018,3000,MCS,gas_oil,Trans-Marhaba,liters
17/4/18,2018,3000,MCS,gas_oil,Trans-Marhaba,liters
7/5/18,2018,3000,MCS,gas_oil,Trans-Marhaba,liters
27/6/18,2018,3000,MCS,gas_oil,Trans-Marhaba,liters
