month,year,quant,factory,type,supplier,unit
1,2016,3115,SalsaPrint,Propane,Total,liters
2,2016,2930,SalsaPrint,Propane,Total,liters
3,2016,4782,SalsaPrint,Propane,Total,liters
4,2016,4667,SalsaPrint,Propane,Total,liters
5,2016,1616,SalsaPrint,Propane,Total,liters
6,2016,3800,SalsaPrint,Propane,Total,liters
7,2016,0,SalsaPrint,Propane,Total,liters
8,2016,4094,SalsaPrint,Propane,Total,liters
9,2016,1664,SalsaPrint,Propane,Total,liters
10,2016,5024,SalsaPrint,Propane,Total,liters
11,2016,4493,SalsaPrint,Propane,Total,liters
12,2016,4086,SalsaPrint,Propane,Total,liters
1,2017,2288,SalsaPrint,Propane,Total,liters
2,2017,4469,SalsaPrint,Propane,Total,liters
3,2017,4046,SalsaPrint,Propane,Total,liters
4,2017,2198,SalsaPrint,Propane,Total,liters
5,2017,1893,SalsaPrint,Propane,Total,liters
6,2017,3564,SalsaPrint,Propane,Total,liters
7,2017,0,SalsaPrint,Propane,Total,liters
8,2017,1675,SalsaPrint,Propane,Total,liters
9,2017,1999,SalsaPrint,Propane,Total,liters
10,2017,0,SalsaPrint,Propane,Total,liters
11,2017,2765,SalsaPrint,Propane,Total,liters
12,2017,0,SalsaPrint,Propane,Total,liters
1,2018,2282,SalsaPrint,Propane,Total,liters
2,2018,2785,SalsaPrint,Propane,Total,liters
3,2018,4406,SalsaPrint,Propane,Total,liters
4,2018,4984,SalsaPrint,Propane,Total,liters
5,2018,4347,SalsaPrint,Propane,Total,liters
