date,year,quant,factory,type,supplier
9/1/16,2016,"26,120", TintColor,FuelOil,Afriquia
18/1/16,2016,"27,320", TintColor,FuelOil,Afriquia
27/1/16,2016,"25,980", TintColor,FuelOil,Afriquia
3/2/16,2016,"25,060", TintColor,FuelOil,Afriquia
10/2/16,2016,"27,100", TintColor,FuelOil,Afriquia
18/2/16,2016,"25,940", TintColor,FuelOil,Afriquia
24/2/16,2016,"27,640", TintColor,FuelOil,Afriquia
2/3/16,2016,"26,540", TintColor,FuelOil,Afriquia
11/3/16,2016,"27,180", TintColor,FuelOil,Afriquia
15/3/16,2016,"26,980", TintColor,FuelOil,Afriquia
22/3/16,2016,"27,320", TintColor,FuelOil,Afriquia
28/3/16,2016,"27,180", TintColor,FuelOil,Afriquia
5/4/16,2016,"24,480", TintColor,FuelOil,Afriquia
11/4/16,2016,"25,700", TintColor,FuelOil,Afriquia
18/4/16,2016,"26,300", TintColor,FuelOil,Afriquia
26/4/16,2016,"25,460", TintColor,FuelOil,Afriquia
2/5/16,2016,"27,220", TintColor,FuelOil,Afriquia
10/5/16,2016,"26,940", TintColor,FuelOil,Afriquia
19/5/16,2016,"27,600", TintColor,FuelOil,Afriquia
26/5/16,2016,"25,920", TintColor,FuelOil,Afriquia
2/6/16,2016,"26,660", TintColor,FuelOil,Afriquia
9/6/16,2016,"25,860", TintColor,FuelOil,Afriquia
14/6/16,2016,"26,720", TintColor,FuelOil,Afriquia
21/6/16,2016,"27,320", TintColor,FuelOil,Afriquia
1/7/16,2016,"22,240", TintColor,FuelOil,Afriquia
14/7/16,2016,"26,040", TintColor,FuelOil,Afriquia
21/7/16,2016,"26,100", TintColor,FuelOil,Afriquia
2/8/16,2016,"27,060", TintColor,FuelOil,Afriquia
23/8/16,2016,"24,520", TintColor,FuelOil,Afriquia
5/9/16,2016,"26,520", TintColor,FuelOil,Afriquia
19/9/16,2016,"26,900", TintColor,FuelOil,Afriquia
29/9/16,2016,"26,500", TintColor,FuelOil,Afriquia
6/10/16,2016,"26,160", TintColor,FuelOil,Afriquia
17/10/16,2016,"24,920", TintColor,FuelOil,Afriquia
26/10/16,2016,"24,720", TintColor,FuelOil,Afriquia
17/11/16,2016,"26,940", TintColor,FuelOil,Afriquia
22/11/16,2016,"27,060", TintColor,FuelOil,Afriquia
1/12/16,2016,"25,760", TintColor,FuelOil,Afriquia
15/12/16,2016,"24,760", TintColor,FuelOil,Afriquia
21/12/16,2016,"24,060", TintColor,FuelOil,Afriquia
30/12/16,2016,"25,920", TintColor,FuelOil,Afriquia
4/1/17,2017,25840, TintColor,FuelOil,Afriquia
9/1/17,2017,25200, TintColor,FuelOil,Afriquia
18/1/2017,2017,26940, TintColor,FuelOil,Afriquia
23/1/2017,2017,26220, TintColor,FuelOil,Afriquia
28/1/2017,2017,26600, TintColor,FuelOil,Afriquia
2/2/17,2017,26600, TintColor,FuelOil,Afriquia
9/2/17,2017,26600, TintColor,FuelOil,Afriquia
16/2/2017,2017,25900, TintColor,FuelOil,Afriquia
23/2/2017,2017,25740, TintColor,FuelOil,Afriquia
1/3/17,2017,26500, TintColor,FuelOil,Afriquia
10/3/17,2017,23440, TintColor,FuelOil,Afriquia
17/3/2017,2017,26180, TintColor,FuelOil,Afriquia
24/3/2017,2017,26700, TintColor,FuelOil,Afriquia
31/3/2017,2017,25860, TintColor,FuelOil,Afriquia
11/4/17,2017,24780, TintColor,FuelOil,Afriquia
18/4/2017,2017,26820, TintColor,FuelOil,Afriquia
27/4/2017,2017,25940, TintColor,FuelOil,Afriquia
4/5/17,2017,26560, TintColor,FuelOil,Afriquia
12/5/17,2017,26880, TintColor,FuelOil,Afriquia
23/5/2017,2017,26200, TintColor,FuelOil,Afriquia
30/5/2017,2017,25800, TintColor,FuelOil,Afriquia
13/6/2017,2017,24960, TintColor,FuelOil,Afriquia
20/6/2017,2017,25060, TintColor,FuelOil,Afriquia
28/6/2017,2017,26300, TintColor,FuelOil,Afriquia
6/7/17,2017,25520, TintColor,FuelOil,Afriquia
12/7/17,2017,26280, TintColor,FuelOil,Afriquia
19/07/17,2017,24140, TintColor,FuelOil,Afriquia
25/07/17,2017,27200, TintColor,FuelOil,Afriquia
3/8/17,2017,27360, TintColor,FuelOil,Afriquia
6/9/17,2017,26760, TintColor,FuelOil,Afriquia
42966,2017,25140, TintColor,FuelOil,Afriquia
15/09/17,2017,26160, TintColor,FuelOil,Afriquia
26/09/17,2017,27020, TintColor,FuelOil,Afriquia
3/10/17,2017,26460, TintColor,FuelOil,Afriquia
9/10/17,2017,25860, TintColor,FuelOil,Afriquia
16/10/17,2017,25800, TintColor,FuelOil,Afriquia
24/10/17,2017,24960, TintColor,FuelOil,Afriquia
31/10/17,2017,26380, TintColor,FuelOil,Afriquia
13/11/2017,2017,25940, TintColor,FuelOil,Afriquia
29/11/2017,2017,26440, TintColor,FuelOil,Afriquia
12/12/17,2017,26660, TintColor,FuelOil,Afriquia
19/12/2017,2017,23500, TintColor,FuelOil,Afriquia
