month,year,quant_,factory
1,2017,859763,MAK_Cut
2,2017,761860,MAK_Cut
3,2017,804405,MAK_Cut
4,2017,767517,MAK_Cut
5,2017,827754,MAK_Cut
6,2017,677942,MAK_Cut
7,2017,777096,MAK_Cut
8,2017,697021,MAK_Cut
9,2017,600314,MAK_Cut
10,2017,670916,MAK_Cut
11,2017,231396,MAK_Cut
12,2017,241934,MAK_Cut
1,2018,603804,MAK_Cut
2,2018,960468,MAK_Cut
3,2018,924106,MAK_Cut
4,2018,959587,MAK_Cut
5,2018,712755,MAK_Cut
6,2018,669412,MAK_Cut
7,2018,926950,MAK_Cut
8,2018,445534,MAK_Cut
9,2018,797485,MAK_Cut
10,2018,902567,MAK_Cut
11,2018,422023,MAK_Cut
12,2018,,MAK_Cut
