month,year,quant_kg,factory
1,2017,200905.3,MAK_Knit
2,2017,179995.05,MAK_Knit
3,2017,179104.85,MAK_Knit
4,2017,199478.05,MAK_Knit
5,2017,207776.63,MAK_Knit
6,2017,180886.6,MAK_Knit
7,2017,193723.3,MAK_Knit
8,2017,109630.55,MAK_Knit
9,2017,150905.27,MAK_Knit
10,2017,159741.96,MAK_Knit
11,2017,94745.3,MAK_Knit
12,2017,208273.29,MAK_Knit
1,2018,191471.02,MAK_Knit
2,2018,207567.83,MAK_Knit
3,2018,200696.98,MAK_Knit
4,2018,124003.1,MAK_Knit
5,2018,148910.5,MAK_Knit
6,2018,180598.05,MAK_Knit
7,2018,195680.23,MAK_Knit
8,2018,117882.12,MAK_Knit
9,2018,220594.05,MAK_Knit
10,2018,175367.61,MAK_Knit
11,2018,111055.4,MAK_Knit
12,2018,,MAK_Knit
