month,year,quant_garments,factory
1,2017,239479.0,MCS
2,2017,265073.0,MCS
3,2017,284983.0,MCS
4,2017,302032.0,MCS
5,2017,328602.0,MCS
6,2017,219754.0,MCS
7,2017,278115.0,MCS
8,2017,132747.0,MCS
9,2017,192550.0,MCS
10,2017,257604.0,MCS
11,2017,148611.0,MCS
12,2017,166618.0,MCS
1,2018,218198.0,MCS
2,2018,274152.0,MCS
3,2018,251204.0,MCS
4,2018,212202.0,MCS
5,2018,252915.0,MCS
6,2018,209131.0,MCS
7,2018,249598.0,MCS
8,2018,97721.0,MCS
9,2018,183012.0,MCS
10,2018,280515.0,MCS
11,2018,234652.0,MCS
12,2018,129003.0,MCS
