month,year,quant_kg,factory
1,2017,251.994,TintColor
2,2017,177.575,TintColor
3,2017,197.719,TintColor
4,2017,188.713,TintColor
5,2017,195.952,TintColor
6,2017,169.019,TintColor
7,2017,245.628,TintColor
8,2017,163.386,TintColor
9,2017,174.484,TintColor
10,2017,260.535,TintColor
11,2017,110.253,TintColor
12,2017,158.883,TintColor
1,2018,198.696,TintColor
2,2018,208.916,TintColor
3,2018,191.156,TintColor
4,2018,193.331,TintColor
5,2018,187.744,TintColor
6,2018,199.194,TintColor
7,2018,229.747,TintColor
8,2018,134.13,TintColor
9,2018,264.898,TintColor
10,2018,280.306,TintColor
11,2018,175.211,TintColor
12,2018,130.400,TintColor
