month,year,quant,factory,type,unit
1,2016,204,TintColor,Diesel,Liters
2,2016,204,TintColor,Diesel,Liters
3,2016,238,TintColor,Diesel,Liters
4,2016,238,TintColor,Diesel,Liters
5,2016,34,TintColor,Diesel,Liters
6,2016,204,TintColor,Diesel,Liters
7,2016,102,TintColor,Diesel,Liters
8,2016,102,TintColor,Diesel,Liters
9,2016,136,TintColor,Diesel,Liters
10,2016,170,TintColor,Diesel,Liters
11,2016,136,TintColor,Diesel,Liters
12,2016,68,TintColor,Diesel,Liters
1,2017,136,TintColor,Diesel,Liters
2,2017,34,TintColor,Diesel,Liters
3,2017,68,TintColor,Diesel,Liters
4,2017,102,TintColor,Diesel,Liters
5,2017,166,TintColor,Diesel,Liters
6,2017,136,TintColor,Diesel,Liters
7,2017,68,TintColor,Diesel,Liters
8,2017,136,TintColor,Diesel,Liters
8,2017,130,TintColor,Diesel,Liters
10,2017,102,TintColor,Diesel,Liters
11,2017,102,TintColor,Diesel,Liters
12,2017,136,TintColor,Diesel,Liters
1,2018,68,TintColor,Diesel,Liters
2,2018,102,TintColor,Diesel,Liters
3,2018,34,TintColor,Diesel,Liters
4,2018,68,TintColor,Diesel,Liters
5,2018,102,TintColor,Diesel,Liters
6,2018,136,TintColor,Diesel,Liters
