date,day,month,year,fuel,production,factory,type,supplier,unit_fuel,unit_production
12/17/16,17,12,2016,2662.838,0,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
1/4/17,4,1,2017,2662.838,239479,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
1/19/17,19,1,2017,2662.838,0,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
1/30/17,30,1,2017,2662.838,0,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
2/10/17,10,2,2017,2662.838,265073,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
2/22/17,22,2,2017,2662.838,0,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
3/10/17,10,3,2017,2662.838,284983,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
3/23/27,23,3,2017,2662.838,0,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
4/6/17,6,4,2017,2662.838,302032,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
4/22/17,22,4,2017,2662.838,0,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
5/15/17,15,5,2017,2662.838,328602,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
6/5/17,5,6,2017,2662.838,219754,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
7/25/17,25,7,2017,2662.838,278115,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
8/25/17,25,8,2017,2662.838,132747,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
9/9/17,9,9,2017,2662.838,192550,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
10/31/17,31,10,2017,2662.838,257604,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
11/24/17,24,11,2017,2662.838,148611,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
12/25/17,25,12,2017,2662.838,166618,MCS,gas_oil,Trans-Marhaba,kilograms,kilograms
