date,day,month,year,fuel,production,factory,type,supplier,unit_fuel,unit_production
1/4/17,4,1,2017,25840,251994,TintColor,FuelOil,Afriquia,kilograms,kilograms
1/9/17,9,1,2017,25200,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
1/18/17,18,1,2017,26940,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
1/23/17,23,1,2017,26220,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
1/28/17,28,1,2017,26600,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
2/2/17,2,2,2017,26600,177575,TintColor,FuelOil,Afriquia,kilograms,kilograms
2/9/17,9,2,2017,26600,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
2/16/17,16,2,2017,25900,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
2/23/17,23,2,2017,25740,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
3/1/17,1,3,2017,26500,197719,TintColor,FuelOil,Afriquia,kilograms,kilograms
3/10/17,10,3,2017,23440,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
3/17/17,17,3,2017,26180,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
3/24/17,24,3,2017,26700,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
3/31/17,31,3,2017,25860,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
4/11/17,11,4,2017,24780,188713,TintColor,FuelOil,Afriquia,kilograms,kilograms
4/18/17,18,4,2017,26820,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
4/27/17,27,4,2017,25940,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
5/4/17,4,5,2017,26560,195952,TintColor,FuelOil,Afriquia,kilograms,kilograms
5/12/17,12,5,2017,26880,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
5/23/0217,23,5,2017,26200,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
5/30/17,30,5,2017,25800,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
6/13/17,13,6,2017,24960,169019,TintColor,FuelOil,Afriquia,kilograms,kilograms
6/20/17,20,6,2017,25060,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
6/28/17,28,6,2017,26300,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
7/6/17,6,7,2017,25520,245628,TintColor,FuelOil,Afriquia,kilograms,kilograms
7/12/17,12,7,2017,26280,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
7/19/17,19,7,2017,24140,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
7/25/17,25,7,2017,27200,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
8/3/17,3,8,2017,27360,163386,TintColor,FuelOil,Afriquia,kilograms,kilograms
8/15/17,15,8,2017,26760,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
9/1/17,1,9,2017,25140,174484,TintColor,FuelOil,Afriquia,kilograms,kilograms
9/15/17,15,9,2017,26160,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
9/26/17,26,9,2017,27020,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
10/3/17,3,10,2017,26460,260535,TintColor,FuelOil,Afriquia,kilograms,kilograms
10/9/17,9,10,2017,25860,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
10/16/17,16,10,2017,25800,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
10/24/17,24,10,2017,24960,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
10/31/17,31,10,2017,26380,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
11/13/17,13,11,2017,25940,110253,TintColor,FuelOil,Afriquia,kilograms,kilograms
11/29/17,29,11,2017,26440,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
12/12/17,12,12,2017,26660,158883,TintColor,FuelOil,Afriquia,kilograms,kilograms
12/19/17,19,12,2017,23500,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
12/21/17,21,12,2017,26500,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
12/28/17,28,12,2017,26860,0,TintColor,FuelOil,Afriquia,kilograms,kilograms
